0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,price
1527.0,2.0,1.5,70.0,324.16502946954813,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,495000
2526.0,3.0,2.5,28.0,297.70387965162314,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,752000
1622.0,2.0,1.5,51.0,196.6707768187423,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,319000
3102.0,4.0,3.0,21.0,390.07092198581563,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1210000
1835.0,2.0,2.0,44.0,251.77111716621255,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,462000
1742.0,2.0,1.5,63.0,230.195177956372,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,401000
2950.0,3.0,2.5,25.0,302.03389830508473,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,891000
1422.0,2.0,1.0,74.0,194.0928270042194,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,276000
3850.0,5.0,4.5,14.0,436.3636363636364,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1680000
2010.0,3.0,2.0,33.0,262.18905472636817,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,527000
1525.0,2.0,1.5,61.0,221.63934426229508,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,338000
2230.0,3.0,2.0,40.0,275.7847533632287,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,615000
1650.0,2.0,1.5,68.0,180.6060606060606,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,298000
3050.0,4.0,3.5,23.0,373.7704918032787,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1140000
1925.0,3.0,2.0,47.0,250.3896103896104,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,482000
1720.0,2.0,2.0,56.0,247.09302325581396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,425000
2640.0,3.0,2.5,31.0,276.1363636363636,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,729000
1380.0,2.0,1.0,78.0,181.8840579710145,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,251000
2890.0,4.0,3.0,18.0,307.9584775086505,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,890000
2030.0,3.0,2.0,38.0,252.2167487684729,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,512000
1620.0,2.0,1.5,64.0,231.4814814814815,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,375000
2150.0,3.0,2.0,44.0,256.74418604651163,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,552000
1750.0,2.0,1.5,54.0,198.85714285714286,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,348000
3480.0,4.0,4.0,11.0,396.55172413793105,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1380000
1980.0,3.0,2.0,46.0,248.4848484848485,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,492000
1830.0,3.0,2.0,51.0,240.43715846994536,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,440000
2420.0,3.0,2.5,36.0,281.8181818181818,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,682000
1450.0,2.0,1.0,76.0,180.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,261000
3250.0,4.0,3.5,16.0,384.61538461538464,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1250000
2080.0,3.0,2.5,31.0,257.21153846153845,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,535000
1680.0,2.0,2.0,58.0,236.9047619047619,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,398000
2180.0,3.0,2.0,42.0,269.26605504587155,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,587000
1720.0,2.0,1.5,64.0,188.95348837209303,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,325000
3000.0,4.0,3.0,26.0,363.3333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1090000
1950.0,3.0,2.0,44.0,257.43589743589746,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,502000
1750.0,2.0,2.0,54.0,240.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,420000
2550.0,3.0,2.5,34.0,272.54901960784315,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,695000
1480.0,2.0,1.0,73.0,188.51351351351352,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,279000
3680.0,5.0,4.0,8.0,429.3478260869565,1.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1580000
2050.0,3.0,2.0,36.0,261.9512195121951,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,537000
1580.0,2.0,1.5,66.0,225.9493670886076,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,357000
2200.0,3.0,2.0,41.0,264.54545454545456,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,582000
1680.0,2.0,1.5,67.0,185.71428571428572,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,312000
3150.0,4.0,3.5,21.0,371.42857142857144,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1170000
1920.0,3.0,2.0,48.0,247.39583333333334,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,475000
1720.0,2.0,2.0,56.0,241.27906976744185,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,415000
2680.0,3.0,2.5,29.0,279.1044776119403,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,748000
1350.0,2.0,1.0,79.0,184.44444444444446,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,249000
3280.0,4.0,3.5,14.0,390.2439024390244,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1280000
2050.0,3.0,2.0,36.0,253.65853658536585,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,520000
1650.0,2.0,1.5,61.0,230.3030303030303,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,380000
2280.0,3.0,2.0,38.0,271.9298245614035,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,620000
1680.0,2.0,1.5,66.0,179.76190476190476,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,302000
3520.0,5.0,4.0,9.0,403.40909090909093,1.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1420000
1950.0,3.0,2.0,45.0,253.84615384615384,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,495000
1780.0,2.0,2.0,54.0,241.57303370786516,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,430000
2580.0,3.0,2.5,33.0,275.1937984496124,1.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,710000
1420.0,2.0,1.0,76.0,181.69014084507043,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,258000
2980.0,4.0,3.0,16.0,329.5302013422819,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,982000
2100.0,3.0,2.5,34.0,251.9047619047619,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,529000
1620.0,2.0,1.5,64.0,227.1604938271605,1.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,368000
2230.0,3.0,2.0,40.0,266.8161434977578,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,595000
1750.0,2.0,1.5,58.0,191.42857142857142,1.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,335000
3420.0,4.0,4.0,12.0,391.812865497076,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1340000
1940.0,3.0,2.0,47.0,250.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,485000
1760.0,2.0,2.0,55.0,243.1818181818182,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,428000
2450.0,3.0,2.5,35.0,275.51020408163265,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,675000
